Email,Received,Customer,Tier,Contact,Contact email,RFQ number,Quote ref,Request,Respond by,Delivery,Line,Part number,Rev,Description,Material,Finish,Size,Quantities,Annual usage,Export control,Export control found in,Requirements,Files,Missing info,Check,Lane,Estimator,Priority,Quote by
E01,06:02,Quillon Aerospace,A,Rachel Kim,rkim@quillonaero.com,26-0412,,new RFQ,2026-10-03,,1,QA-41127,B,"BRACKET, SENSOR MOUNTING",ALUMINUM 6061-T6 PER AMS-QQ-A-250/11,BLACK ANODIZE PER MIL-A-8625 TYPE II CLASS 2,,25 / 50 / 100,,,,"Inspection: standard, FAI on the first lot","QA-41127_RevB.pdf (drawing, scan, OCR 90%); QA-41127_RevB.step (3D model, STEP header)",,,,,,
E03,06:47,Halvorsen Pump & Valve,B,Greg Lindqvist,glindqvist@halvorsenpv.com,,,new RFQ,2026-10-09,,1,HPV-3310,C,"SHAFT, PUMP, 1.125 DIA","STAINLESS STEEL 303 PER ASTM A582, CONDITION A","PASSIVATE PER ASTM A967, NITRIC 2",,500,6000,,,Please show any tooling or NRE as a separate line,"HPV-3310_shaft_RevC.pdf (drawing, text layer)",,,,,,
E04,07:05,Sable Creek Defense Systems,A,Dana Whitcomb,dwhitcomb@sablecreekdefense.com,SCD-7781,,new RFQ,2026-10-09,,1,,,gimbal yoke,7075-T7351,,,12,,ITAR,email body,Please include your ITAR registration number with your quote,,,"Drawings are behind a link, not attached: https://suppliers.sablecreekdefense.com/rfq/SCD-7781",,,,
E05,07:21,Tessaract Optics,B,Owen Marsh,omarsh@tessaractoptics.com,,,new RFQ,2026-10-02,,1,TO-5520,A,"CELL, OBJECTIVE LENS",ALUMINUM 6061-T6 OR T6511 PER ASTM B221,BLACK ANODIZE PER MIL-A-8625 TYPE II CLASS 2,,40,,CUI,email body; TO-5520_lens_cell_CUI.pdf (text layer),This drawing is marked CUI and the program flows down DFARS 252.204-7012; please handle it per NIST SP 800-171 and confirm your compliance status in your reply,"TO-5520_lens_cell_CUI.pdf (drawing, text layer)",,,,,,
E06,07:38,Cindervale Hydraulics,,Sam Patel,spatel@cindervalehydraulics.com,,,new RFQ,,,1,SP-1182,,steel spacer,1018 steel,zinc plated,"1.25"" OD x 0.50"" ID x 0.75"" long",200,,,,,,drawing,The sender says the drawing will follow,,,,
E07,07:54,Ferrovia Robotics,B,Lena Fischer,lfischer@ferroviarobotics.com,,,new RFQ,,,1,FR-2290,A,"HEAT SINK PLATE, SERVO DRIVE",ALUMINUM 6063-T6 PER ASTM B221,CLEAR ANODIZE PER MIL-A-8625 TYPE II CLASS 1,,,,,,Please quote your best price breaks,"FR-2290_heatsink.pdf (drawing, fax, OCR 84%); FR-2290_heatsink.step (3D model, STEP header)",quantity,,,,,
E09,08:26,Halvorsen Pump & Valve,B,Beth Okafor,bokafor@halvorsenpv.com,,Q-26-1187,quote revision,,,1,HPV-2045,D,"MANIFOLD BLOCK, VALVE, 4-PORT",ALUMINUM 6061-T6511 PER ASTM B221,HARD ANODIZE PER MIL-A-8625 TYPE III CLASS 1,,30,,,,,"HPV-2045_manifold_RevD.pdf (drawing, copier, OCR 70%); HPV-2045_manifold_RevD.step (3D model, STEP header)",,,,,,
E16,10:24,Arcwright Agriculture,,Ivy Chen,ichen@arcwrightag.com,,,new RFQ,,,1,AW-310,B,"FRAME ASSY, SEED METER MOUNT, WELDED","STEEL, ASTM A36: 2 X 2 X .188 SQ TUBE, .50 PLATE","POWDER COAT RAL 6018, 2-4 MILS, AFTER MACHINING",,20,,,,,"AW-310_frame_assy.pdf (drawing, scan, OCR 92%)",,"Line 1 part number AW-310: OCR read it at 42% confidence on AW-310_frame_assy.pdf, title block and no other source confirms it; verify",,,,
E19,11:23,NorthPeak Energy,,Hannah Ortiz,hortiz@northpeakenergy.com,,,new RFQ,,,1,NPE-0062,A,"PIN, CONTACT, .062 DIA",BRASS C36000 HALF HARD PER ASTM B16,"GOLD FLASH OVER NICKEL, SEE NOTE 5","0.062"" diameter x 0.450"" long",2500,10000,,,Please quote with and without plating,"NPE-0062_pin.pdf (drawing, text layer)",,,,,,
E20,11:48,Ferrovia Robotics,B,Alicia Moreno,amoreno@ferroviarobotics.com,,,new RFQ,,,1,FR-3101,C,"COVER, CONTROLLER ENCLOSURE",ALUMINUM 6061-T6 PER AMS-QQ-A-250/11,"CHEM FILM PER MIL-DTL-5541 TYPE II CLASS 3, CLEAR",,,2000,,,"12-month blanket pricing, released monthly","FR-3101.pdf (drawing, text layer); FR-3102.pdf (drawing, scan, OCR 89%); FR-3103.pdf (drawing, text layer)",,,,,,
